# Basic Thermal Model Data - Node List
# ARRAKIHS_ACASE2          23 February  2026 17:50:59
# ESATAN 2018 sp1            
#
# Type,Number,Label,Model
D,500,"Strap1",ARRAKIHS_ACASE2
D,501,"Strap1",ARRAKIHS_ACASE2
D,502,"Strap1",ARRAKIHS_ACASE2
D,600,"Strap2",ARRAKIHS_ACASE2
D,601,"Strap2",ARRAKIHS_ACASE2
D,602,"Strap2",ARRAKIHS_ACASE2
D,771,"FPA1",ARRAKIHS_ACASE2
D,774,"FPA1",ARRAKIHS_ACASE2
D,801,"Radiator",ARRAKIHS_ACASE2
D,802,"Radiator",ARRAKIHS_ACASE2
D,803,"Radiator",ARRAKIHS_ACASE2
D,804,"Radiator",ARRAKIHS_ACASE2
D,805,"Radiator",ARRAKIHS_ACASE2
D,806,"Radiator",ARRAKIHS_ACASE2
D,807,"Radiator",ARRAKIHS_ACASE2
D,808,"Radiator",ARRAKIHS_ACASE2
D,809,"Radiator",ARRAKIHS_ACASE2
D,810,"Radiator",ARRAKIHS_ACASE2
D,811,"Radiator",ARRAKIHS_ACASE2
D,812,"Radiator",ARRAKIHS_ACASE2
D,813,"Radiator",ARRAKIHS_ACASE2
D,814,"Radiator",ARRAKIHS_ACASE2
D,815,"Radiator",ARRAKIHS_ACASE2
D,816,"Radiator",ARRAKIHS_ACASE2
D,817,"Radiator",ARRAKIHS_ACASE2
D,818,"Radiator",ARRAKIHS_ACASE2
D,819,"Radiator",ARRAKIHS_ACASE2
D,820,"Radiator",ARRAKIHS_ACASE2
D,821,"Radiator",ARRAKIHS_ACASE2
D,822,"Radiator",ARRAKIHS_ACASE2
D,823,"Radiator",ARRAKIHS_ACASE2
D,824,"Radiator",ARRAKIHS_ACASE2
D,981,"ColdFinger",ARRAKIHS_ACASE2
D,982,"ColdFinger",ARRAKIHS_ACASE2
D,983,"ColdFinger",ARRAKIHS_ACASE2
D,984,"ColdFinger",ARRAKIHS_ACASE2
D,985,"ColdFinger",ARRAKIHS_ACASE2
D,986,"ColdFinger",ARRAKIHS_ACASE2
X,99998,"INACTIVE_NODE",ARRAKIHS_ACASE2
B,99999,"ENVIRONMENT",ARRAKIHS_ACASE2
